# 简化版提示词库 - 用于动态生成
# 格式：有声乐 -> 风格, 情绪, 场景, 人声
#        纯音乐 -> 纯音乐, 风格, 场景, 氛围
# 每次随机抽取一行，通过 lyrics API 自动生成多样化歌词

# ================== 华语流行 ===================
华语流行, 深情, 夜晚, 低沉磁性男声
华语流行, 欢快, 阳光, 清亮女声
华语流行, 忧伤, 雨天, 沙哑女声
华语流行, 浪漫, 烛光, 温润男中音
华语流行, 慵懒, 午后, 慵懒女声
华语流行, 释然, 海边, 沉稳男声
华语流行, 孤独, 深夜, 气声女声
华语流行, 热烈, 盛夏, 男女对唱
华语流行, 怀旧, 老街, 中年沧桑男声
华语流行, 甜蜜, 春天, 甜美女声
华语流行, 倔强, 风中, 嘶哑男声
华语流行, 迷惘, 雾中, 空灵女声
华语流行, 温暖, 炉火旁, 浑厚男中音
华语流行, 痴狂, 舞台, 高亢女声
华语流行, 释然, 山顶日出, 清朗男声
华语流行, 期待, 机场候机厅, 温柔女声
华语流行, 遗憾, 分手后的街角, 哽咽女声
华语流行, 坚定, 雨中的奔跑, 有力女声
华语流行, 平静, 清晨的阳台, 柔和男声
华语流行, 心动, 初遇的咖啡馆, 青涩少年音
华语流行, 思念, 月下列车, 温柔女中音
华语流行, 悸伤, 分手的夜晚, 嘶哑男声
华语流行, 欣欣, 久别重逢, 清亮女声
华语流行, 寂寞, 凌晨的便利店, 气声男声
华语流行, 绽放, 烟花树下, 活力少女音
华语流行, 温柔, 摇篮边, 慈祥女声
华语流行, 伤感, 雨夜的车站, 哽咽女中音
华语流行, 阳光, 向日葵花田, 清朗男声
华语流行, 寒冷, 冬日的街头, 冰冷女声
华语流行, 慰藉, 失败后的拥抱, 温暖男中音
华语流行, 追忆, 老照片堆里, 怀旧男声
华语流行, 冲动, 青春的叛逆, 热血男声
华语流行, 纯粹, 山间的溪流, 空灵女声
华语流行, 坚强, 风雨后的彩虹, 有力女高音
华语流行, 羁慕, 远方的灯火, 沉思男中音
华语流行, 释怀, 删除的聊天记录, 淡然女声
华语流行, 炽热, 摩天轮的顶端, 欢呼合唱
华语流行, 忧郁, 黄昏的窗边, 忧郁男低音
华语流行, 璀璨, 星空下的誓言, 梦幻女声
华语流行, 沉稳, 午夜的电台, 磁性男低音
华语流行, 澎湃, 海边的日出, 激昂男声
华语流行, 朦胧, 雾中的港口, 神秘女声
华语流行, 决绝, 最后的告别, 坚定女中音

# ================== 华语流行·唱作人风格 ===================
华语流行, 沉静, 山间, 清朗男声
华语流行, 飒爽, 城市, 中性女声
华语流行, 洒脱, 公路, 粗犷男声
华语流行, 细腻, 窗台, 温婉女声
华语流行, 随性, 海边礁石, 烟嗓男声
华语流行, 内敛, 深夜书房, 低沉男声
